# 66,71
# 1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20,22,25,28,31,35,39,44,50,56,63,70,79,89,100,112,125,141,158,177,199,223,251,281,316,354,398,446,501,562,630,707,794,891,1000,1122,1258,1412,1584,1778,1995,2238,2511,2818,3162,3548,3981,4466,5011,5623,6309
# 1.3235556217579e-20,2.458301003631969e-20,4.565916025827136e-20,8.48048677688535e-20,1.575119988324772e-19,2.9255431237538636e-19,5.433746401787592e-19,1.009234822731114e-18,1.8744984621991704e-18,3.4815925943561866e-18,6.466522772632663e-18,1.2010571494425452e-17,2.2307789316571932e-17,4.143328770188269e-17,7.695595943752653e-17,1.429338587746461e-16,2.6547765934613267e-16,4.930839215851573e-16,9.158275476913098e-16,1.701008814917161e-15,3.159362257359365e-15,5.868029480912998e-15,1.0898962253744288e-14,2.024314611828796e-14,3.7598530504642965e-14,6.98334877320008e-14,1.297049630227785e-13,2.4090702010048865e-13,4.474477381679281e-13,8.310653558708374e-13,1.5435760800952172e-12,2.866955165692661e-12,5.324928280557989e-12,9.890235303430594e-12,1.8369590950992945e-11,3.4118689935491817e-11,6.337021907672404e-11,1.177004355508562e-10,2.1861045662614035e-10,4.060353007414351e-10,7.541481226130605e-10,1.4007141492433362e-09,2.6016111014004995e-09,4.83209249123857e-09,8.974868623259977e-09,1.6669438126613723e-08,3.096091754890474e-08,5.7505142536247304e-08,1.0680695792980746e-07,1.9837749736954494e-07,3.684556907656396e-07,6.843497768534029e-07,1.2710744570293257e-06,2.3608253117886117e-06,4.384869920057882e-06,8.144221480437098e-06,1.5126638812933633e-05,2.8095405107360832e-05,5.218289389390364e-05,9.692169964222977e-05,0.00018001715046003092,0.0003343541702154534,0.0006210114472692181,0.0011534332513062446,0.002142324865457965,0.00397903894652065,0.007390452864180206,0.013726629538378537,0.025495103202283518,0.04735323303348027,0.08795134739922254
13,60,10
3,60,678
3,49,1
5,49,1
0,5,3
49,66,1
36,64,1
0,2,1
24,63,56
5,62,14
19,63,266
27,65,126
0,53,514
6,61,353
45,67,54
26,64,170
1,48,2
0,56,1312
16,61,44
21,61,4
11,61,271
2,55,59
4,53,4
35,65,40
12,62,337
37,64,1
34,66,134
18,63,187
9,58,4
0,43,7
13,63,58
36,65,26
3,59,476
44,67,50
33,63,1
14,60,7
4,60,556
43,68,3
17,60,3
54,68,16
47,67,22
0,50,308
6,62,33
20,61,1
29,65,173
1,51,35
23,64,182
16,58,1
31,66,50
28,64,86
2,56,64
17,59,1
22,63,123
37,67,26
23,62,12
55,69,7
29,61,1
3,54,14
56,68,1
41,66,21
5,50,2
38,65,6
0,4,2
4,49,1
43,67,78
9,60,96
15,60,9
5,52,1
22,65,1
10,59,16
28,66,1
27,63,17
6,59,70
36,63,1
13,59,3
32,66,71
31,65,176
0,9,1
2,61,46
0,40,1
30,64,26
23,61,3
4,59,275
20,64,68
8,62,83
25,64,171
38,66,94
5,58,50
49,68,35
17,61,16
24,65,23
42,68,1
5,55,4
10,60,50
1,52,46
15,57,1
33,66,98
54,66,1
2,51,6
1,57,566
0,47,66
40,65,2
12,58,4
1,46,1
50,68,36
0,44,10
16,64,3
1,50,20
4,56,7
8,59,28
35,64,5
5,61,333
19,62,72
27,64,118
0,54,708
11,57,1
45,66,3
7,58,6
26,65,99
1,55,185
0,57,1812
16,62,218
21,60,3
11,60,65
2,52,14
22,64,159
53,68,19
0,48,146
18,60,2
42,65,2
0,6,2
13,62,277
36,66,159
3,58,165
12,56,1
14,57,1
14,61,63
4,61,263
18,64,22
8,56,1
5,57,19
15,58,2
47,66,1
19,61,17
0,45,17
0,51,352
20,62,43
29,64,49
26,63,20
7,62,57
21,63,173
28,65,163
11,59,19
2,57,191
17,58,1
22,60,1
12,60,29
