# hpos-1,hpos-2,avgfeat-1,avgfeat-2,#npts
42,66,473.6,0.011884491691931318,15
55,68,2117.3333333333335,0.04131260379799502,6
39,67,335.86301369863014,0.015727288771165332,73
3,57,4.0,4.1786397415776444e-05,62
44,65,605.0,0.00482303540134424,1
41,65,419.3333333333333,0.005788726441914016,3
14,62,18.429184549356222,0.0008703026621691503,233
26,62,71.0,0.0008209099236565414,2
43,66,525.3571428571429,0.011770691363928037,14
39,65,328.25,0.0065628055727203665,8
8,53,9.0,4.338621902592762e-06,1
15,63,20.608333333333334,0.0014017883490565135,120
6,53,7.0,2.821586393959248e-06,2
8,58,9.0,7.142301457423137e-05,5
10,56,11.0,2.5668104336894358e-05,1
49,67,1040.4545454545455,0.021179286086816698,11
6,56,7.0,2.303040841063768e-05,6
7,56,8.0,2.061413751900732e-05,2
7,59,8.0,0.00014624147492919284,50
10,55,11.0,1.3695181773996105e-05,1
7,61,8.0,0.0004548585620432256,356
31,64,132.22222222222223,0.0032642263871399077,18
2,58,3.0,7.549129025939922e-05,407
